"","Title","Author","Subject","Abstract","date"
"13","learning agent-based modeling with llm companions: experiences of novices and experts using chatgpt & netlogo chat","john chen, xi lu, michael rejtig, david du, ruth bagley, michael s. horn, uri j. wilensky","human-computer interaction","large language models (llms) have the potential to fundamentally change the way people engage in computer programming. agent-based modeling (abm) has become ubiquitous in natural and social sciences and education, yet no prior studies have explored the potential of llms to assist it. we designed netlogo chat to support the learning and practice of netlogo, a programming language for abm. to understand how users perceive, use, and need llm-based interfaces, we interviewed 30 participants from global academia, industry, and graduate schools. experts reported more perceived benefits than novices and were more inclined to adopt llms in their workflow. we found significant differences between experts and novices in their perceptions, behaviors, and needs for human-ai collaboration. we surfaced a knowledge gap between experts and novices as a possible reason for the benefit gap. we identified guidance, personalization, and integration as major needs for llm-based interfaces to support the programming of abm.",2024-01-30
"14","knuth's non-associative ""group"" on ${\mathcal p}(\mathbb{n})$","dominic van der zypen","general mathematics","donald knuth introduced in the art of computer programming (vol 4a) a fast approximation to the addition of integers (given in binary) in terms of bit-wise operations by $a + b \; \approx \; a \oplus b \oplus ((a\land b) \ll 1).$ generalizing this to infinite bit-strings we get a binary operation on ${\mathcal p}(\mathbb{n})$, the power-set of $\mathbb{n}$ (which we identify with the collection of infinite bit-strings). we show that this operation is ``group-like'' in that it has a neutral element, inverses, but it is not associative. there are a lot of questions left, which the author has not been able to answer.",2023-12-11
"15","automated assessment of students' code comprehension using llms","priti oli, rabin banjade, jeevan chapagain, vasile rus","computers and society","assessing student's answers and in particular natural language answers is a crucial challenge in the field of education. advances in machine learning, including transformer-based models such as large language models(llms), have led to significant progress in various natural language tasks. nevertheless, amidst the growing trend of evaluating llms across diverse tasks, evaluating llms in the realm of automated answer assesment has not received much attention. to address this gap, we explore the potential of using llms for automated assessment of student's short and open-ended answer. particularly, we use llms to compare students' explanations with expert explanations in the context of line-by-line explanations of computer programs.
for comparison purposes, we assess both large language models (llms) and encoder-based semantic textual similarity (sts) models in the context of assessing the correctness of students' explanation of computer code. our findings indicate that llms, when prompted in few-shot and chain-of-thought setting perform comparable to fine-tuned encoder-based models in evaluating students' short answers in programming domain.",2023-12-19
"16","symbolic regression of dynamic network models","govind gandhi","neural and evolutionary computing","growing interest in modelling complex systems from brains to societies to cities using networks has led to increased efforts to describe generative processes that explain those networks. recent successes in machine learning have prompted the usage of evolutionary computation, especially genetic programming to evolve computer programs that effectively forage a multidimensional search space to iteratively find better solutions that explain network structure. symbolic regression contributes to these approaches by replicating network morphologies using both structure and processes, all while not relying on the scientists intuition or expertise. it distinguishes itself by introducing a novel formulation of a network generator and a parameter-free fitness function to evaluate the generated network and is found to consistently retrieve synthetically generated growth processes as well as simple, interpretable rules for a range of empirical networks. we extend this approach by modifying generator semantics to create and retrieve rules for time-varying networks. lexicon to study networks created dynamically in multiple stages is introduced. the framework was improved using methods from the genetic programming toolkit (recombination) and computational improvements (using heuristic distance measures) and used to test the consistency and robustness of the upgrades to the semantics using synthetically generated networks. using recombination was found to improve retrieval rate and fitness of the solutions. the framework was then used on three empirical datasets - subway networks of major cities, regions of street networks and semantic co-occurrence networks of literature in artificial intelligence to illustrate the possibility of obtaining interpretable, decentralised growth processes from complex networks.",2023-12-15
"17","mathematical intuition, deep learning, and robbins' problem","f. thomas bruss","history and overview","{\bf abstract.} the present article is an essay about mathematical intuition and artificial intelligence (a.i.), followed by a guided excursion to a well-known open problem. it has two objectives. the first is to reconcile the way of thinking of a computer program as a sequence of mathematically defined instructions with what we face nowadays with newer developments. the second and major goal is to guide interested readers through the probabilistic intuition behind robbins' problem and to show why a.i., and in particular deep learning, may contribute an essential part in its solution.
this article contains no new mathematical results, and no implementation of deep learning either. nevertheless, we hope to find through its semi-historic narrative style, with well-known examples and an easily accessible terminology, the interest of mathematicians of different inclinations.",2023-12-14
"18","automated test production -- systematic literature review","josé marcos gomes, luis alberto vieira dias","software engineering","identifying the main contributions related to the automated test production (atp) of computer programs and providing an overview about models, methodologies and tools used for this purpose is the aim of this systematic literature review (slr). the results will enable a comprehensive analysis and insight to evaluate their applicability. a previously produced systematic literature mapping (slm) contributed to the formulation of the ``research questions'' and parameters for the definition of the qualitative analysis protocol of this review.",2024-01-04
"19","heom-quick2: a general-purpose simulator for fermionic many-body open quantum systems -- an update","daochi zhang, lyuzhou ye, jiaan cao, yao wang, rui-xue xu, xiao zheng, yijing yan","strongly correlated electrons","many-body open quantum systems (oqs) have a profound impact on various subdisciplines of physics, chemistry, and biology. thus, the development of a computer program capable of accurately, efficiently, and versatilely simulating many-body oqs is highly desirable. in recent years, we have focused on the advancement of numerical algorithms based on the fermionic hierarchical equations of motion (heom) theory. being in-principle exact, this approach allows for the precise characterization of many-body correlations, non-markovian memory, and non-equilibrium thermodynamic conditions. these efforts now lead to the establishment of a new computer program, heom for quantum impurity with a correlated kernel, version 2 (heom-quick2), which, to the best of our knowledge, is currently the only general-purpose simulator for fermionic many-body oqs. compared with version 1, the heom-quick2 program features more efficient solvers for stationary states, more accurate treatment of non-markovian memory, and improved numerical stability for long-time dissipative dynamics. integrated with quantum chemistry software, heom-quick2 has become a valuable theoretical tool for the precise simulation of realistic many-body oqs, particularly the single atomic or molecular junctions. furthermore, the unprecedented precision achieved by heom-quick2 enables accurate simulation of low-energy spin excitations and coherent spin relaxation. the unique usefulness of heom-quick2 is demonstrated through several examples of strongly correlated quantum impurity systems under non-equilibrium conditions. thus, the new heom-quick2 program offers a powerful and comprehensive tool for studying many-body oqs with exotic quantum phenomena and exploring applications in various disciplines.",2024-01-03
"20","automated invariant generation for solidity smart contracts","ye liu, chengxuan zhang, yi li. (nanyang technological university, singapore)","software engineering","smart contracts are computer programs running on blockchains to automate the transaction execution between users. the absence of contract specifications poses a real challenge to the correctness verification of smart contracts. program invariants are properties that are always preserved throughout the execution, which characterize an important aspect of the program behaviors. in this paper, we propose a novel invariant generation framework, invcon+, for solidity smart contracts. invcon+ extends the existing invariant detector, invcon, to automatically produce verified contract invariants based on both dynamic inference and static verification. unlike invcon+, invcon only produces likely invariants, which have a high probability to hold, yet are still not verified against the contract code. particularly, invcon+ is able to infer more expressive invariants that capture richer semantic relations of contract code. we evaluate invcon+ on 361 erc20 and 10 erc721 real-world contracts, as well as common erc20 vulnerability benchmarks. the experimental results indicate that invcon+ efficiently produces high-quality invariant specifications, which can be used to secure smart contracts from common vulnerabilities.",2024-01-01
"21","deep learning for code intelligence: survey, benchmark and toolkit","yao wan, yang he, zhangqian bi, jianguo zhang, hongyu zhang, yulei sui, guandong xu, hai jin, philip s. yu","software engineering","code intelligence leverages machine learning techniques to extract knowledge from extensive code corpora, with the aim of developing intelligent tools to improve the quality and productivity of computer programming. currently, there is already a thriving research community focusing on code intelligence, with efforts ranging from software engineering, machine learning, data mining, natural language processing, and programming languages. in this paper, we conduct a comprehensive literature review on deep learning for code intelligence, from the aspects of code representation learning, deep learning techniques, and application tasks. we also benchmark several state-of-the-art neural models for code intelligence, and provide an open-source toolkit tailored for the rapid prototyping of deep-learning-based code intelligence models. in particular, we inspect the existing code intelligence models under the basis of code representation learning, and provide a comprehensive overview to enhance comprehension of the present state of code intelligence. furthermore, we publicly release the source code and data resources to provide the community with a ready-to-use benchmark, which can facilitate the evaluation and comparison of existing and future code intelligence models (this https url). at last, we also point out several challenging and promising directions for future research.",2023-12-30
"22","on a class of fusion 2-category symmetry: condensation completion of braided fusion category","wenjie xi, tian lan, longye wang, chenjie wang, wei-qiang chen","high energy physics - theory","recently, many studies are focused on generalized global symmetry, a mixture of both invertible and non-invertible symmetries in various space-time dimensions. the complete structure of generalized global symmetry is described by higher fusion category theory. in this paper, we first review the construction of fusion 2-category symmetry $\sigma \cal b$ where $\cal b$ is a a braided fusion category. in particular, we elaborate on the monoidal structure of $\sigma \cal b$ which determines fusion rules and controls the dynamics of topological operators/defects. we then take $\sigma \mathrm{svec}$ as an example to demonstrate how we calculate fusion rule, quantum dimension and 10j-symbol of the fusion 2-category. with our algorithm, all these data can be efficiently encoded and computed in computer program. the complete program will be uploaded to github soon. our work can be thought as explicitly computing the representation theory of $\cal b$, in analogy to, for example the representation theory of $su(2)$. the choice of basis bimodule maps are in analogy to the clebsch-gordon coefficients and the 10j-symbol are in analogy to the 6j-symbol.",2023-12-26
"23","robust machine learning by transforming and augmenting imperfect training data","elliot creager","machine learning","machine learning (ml) is an expressive framework for turning data into computer programs. across many problem domains -- both in industry and policy settings -- the types of computer programs needed for accurate prediction or optimal control are difficult to write by hand. on the other hand, collecting instances of desired system behavior may be relatively more feasible. this makes ml broadly appealing, but also induces data sensitivities that often manifest as unexpected failure modes during deployment. in this sense, the training data available tend to be imperfect for the task at hand. this thesis explores several data sensitivities of modern machine learning and how to address them. we begin by discussing how to prevent ml from codifying prior human discrimination measured in the training data, where we take a fair representation learning approach. we then discuss the problem of learning from data containing spurious features, which provide predictive fidelity during training but are unreliable upon deployment. here we observe that insofar as standard training methods tend to learn such features, this propensity can be leveraged to search for partitions of training data that expose this inconsistency, ultimately promoting learning algorithms invariant to spurious features. finally, we turn our attention to reinforcement learning from data with insufficient coverage over all possible states and actions. to address the coverage issue, we discuss how causal priors can be used to model the single-step dynamics of the setting where data are collected. this enables a new type of data augmentation where observed trajectories are stitched together to produce new but plausible counterfactual trajectories.",2023-12-19
"24","status of dune offline computing","michael kirby (1) (on behalf of the dune collaboration, (1) fermi national accelerator laboratory)","accelerator physics","we summarize the status of deep underground neutrino experiment (dune) offline software and computing program. we describe plans for the computing infrastructure needed to acquire, catalog, reconstruct, simulate and analyze the data from the dune experiment and its prototypes in pursuit of the experiment's physics goals of precision measurements of neutrino oscillation parameters, detection of astrophysical neutrinos, measurement of neutrino interaction properties and searches for physics beyond the standard model. in contrast to traditional hep computational problems, dune's liquid argon time projection chamber data consist of simple but very large (many gb) data objects which share many characteristics with astrophysical images. we have successfully reconstructed and simulated data from 4% prototype detector runs at cern. the data volume from the full dune detector, when it starts commissioning late in this decade will present memory management challenges in conventional processing but significant opportunities to use advances in machine learning and pattern recognition as a frontier user of high performance computing facilities capable of massively parallel processing. our goal is to develop infrastructure resources that are flexible and accessible enough to support creative software solutions as hep computing evolves.",2023-12-18
"25","knn-icl: compositional task-oriented parsing generalization with nearest neighbor in-context learning","wenting zhao, ye liu, yao wan, yibo wang, qingyang wu, zhongfen deng, jiangshu du, shuaiqi liu, yunlong xu, philip s. yu","computation and language","task-oriented parsing (top) enables conversational assistants to interpret user commands expressed in natural language, transforming them into structured outputs that combine elements of both natural language and intent/slot tags. recently, large language models (llms) have achieved impressive performance in synthesizing computer programs based on a natural language prompt, mitigating the gap between natural language and structured programs. our paper focuses on harnessing the capabilities of llms for semantic parsing tasks, addressing the following three key research questions: 1) how can llms be effectively utilized for semantic parsing tasks? 2) what defines an effective prompt? and 3) how can llm overcome the length constraint and streamline prompt design by including all examples as prompts? we introduce k nearest neighbor in-context learning(knn-icl), which simplifies prompt engineering by allowing it to be built on top of any design strategy while providing access to all demo examples. extensive experiments show that: 1)simple icl without knn search can achieve a comparable performance with strong supervised models on the top tasks, and 2) knn-icl significantly improves the comprehension of complex requests by seamlessly integrating icl with a nearest-neighbor approach. notably, this enhancement is achieved without the need for additional data or specialized prompts.",2023-12-17
"26","automated planning techniques for elementary proofs in abstract algebra","alice petrov, christian muise","artificial intelligence","this paper explores the application of automated planning to automated theorem proving, which is a branch of automated reasoning concerned with the development of algorithms and computer programs to construct mathematical proofs. in particular, we investigate the use of planning to construct elementary proofs in abstract algebra, which provides a rigorous and axiomatic framework for studying algebraic structures such as groups, rings, fields, and modules. we implement basic implications, equalities, and rules in both deterministic and non-deterministic domains to model commutative rings and deduce elementary results about them. the success of this initial implementation suggests that the well-established techniques seen in automated planning are applicable to the relatively newer field of automated theorem proving. likewise, automated theorem proving provides a new, challenging domain for automated planning.",2023-12-11
"27","converting epics/stories into pseudocode using transformers","gaurav kolhatkar, akshit madan, nidhi kowtal, satyajit roy, sheetal sonawane","computation and language","the conversion of user epics or stories into their appropriate representation in pseudocode or code is a time-consuming task, which can take up a large portion of the time in an industrial project. with this research paper, we aim to present a methodology to generate pseudocode from a given agile user story of small functionalities so as to reduce the overall time spent on the industrial project. pseudocode is a programming language agnostic representation of the steps involved in a computer program, which can be easily converted into any programming language. leveraging the potential of natural language processing, we want to simplify the development process in organizations that use the agile model of software development. we present a methodology to convert a problem described in the english language into pseudocode. this methodology divides the text to pseudocode conversion task into two stages or subtasks, each of which is treated like an individual machine translation task. stage 1 is text to code conversion and stage 2 is code to pseudocode conversion. we find that the codet5 model gives the best results in terms of bleu score when trained separately on the two subtasks mentioned above. bleu score is a metric that is used to measure the similarity between a machine-translated text and a set of reference translations.",2023-12-08
"28","classification of minimal separating sets of low genus surfaces","christopher n. aagaard, j.j.p. veerman","combinatorics","a minimal separating set in a connected topological space $x$ is a subset $l \subset x$ with the property that $x \setminus l$ is disconnected, but if $l^{\prime}$ is a proper subset of $l$, then $x \setminus l^{\prime}$ is connected. such sets show up in a variety of contexts. for example, in a wide class of metric spaces, if we choose distinct points p and q, then the set of points x satisfying d(x, p) = d(x, q) is a minimal separating set. in this paper we classify which topological graphs can be realized as minimal separating sets in surfaces of low genus. in general the question of whether a graph can be embedded at all in a surface is a difficult one, so our work is partly computational. we classify graphs embeddings which are minimal separating in a given genus and write a computer program to find all such embeddings and their underlying graphs.",2023-12-04
"29","function-constrained program synthesis","patrick hajali, ignas budvytis","machine learning","this work introduces (1) a technique that allows large language models (llms) to leverage user-provided code when solving programming tasks and (2) a method to iteratively generate modular sub-functions that can aid future code generation attempts when the initial code generated by the llm is inadequate. generating computer programs in general-purpose programming languages like python poses a challenge for llms when instructed to use code provided in the prompt. code-specific llms (e.g., github copilot, codellama2) can generate code completions in real-time by drawing on all code available in a development environment. however, restricting code-specific llms to use only in-context code is not straightforward, as the model is not explicitly instructed to use the user-provided code and users cannot highlight precisely which snippets of code the model should incorporate into its context. moreover, current systems lack effective recovery methods, forcing users to iteratively re-prompt the model with modified prompts until a sufficient solution is reached. our method differs from traditional llm-powered code-generation by constraining code-generation to an explicit function set and enabling recovery from failed attempts through automatically generated sub-functions. when the llm cannot produce working code, we generate modular sub-functions to aid subsequent attempts at generating functional code. a by-product of our method is a library of reusable sub-functions that can solve related tasks, imitating a software team where efficiency scales with experience. we also introduce a new ""half-shot"" evaluation paradigm that provides tighter estimates of llms' coding abilities compared to traditional zero-shot evaluation. our proposed evaluation method encourages models to output solutions in a structured format, decreasing syntax errors that can be mistaken for poor coding ability.",2023-11-27
"30","anyone can code: algorithmic thinking","ali arya","programming languages","as the second book in the anyone can code series, algorithmic thinking focuses on the logic behind computer programming and software design. with a data-centred approach, it starts with simple algorithms that work on simple data items and advances to more complex ones covering data structures and classes. examples are given in c/c++ and python and use both plain text and graphics applications to illustrate the concepts in different languages and forms. with the advances in artificial intelligence and automated code generators, it is essential to learn about the logic of what a code needs to do, not just how to write the code. anyone can code: algorithmic thinking is suitable for anyone who aims to improve their programming skills and go beyond the simple craft of programming, stepping into the world of algorithm design.",2023-11-23
"31","zzpolycalc: an open-source code with fragment caching for determination of zhang-zhang polynomials of carbon nanostructures","rafał podeszwa, henryk a. witek, chien-pin chou","computational physics","determination of topological invariants of graphene flakes, nanotubes, and fullerenes constitutes a challenging task due to its time-intensive nature and exponential scaling. the invariants can be organized in a form of a combinatorial polynomial commonly known as the zhang-zhang (zz) polynomial or the clar covering polynomial. we report here a computer program, zzpolycalc, specifically designed to compute zz polynomials of large carbon nanostructures. the curse of exponential scaling is avoided for a broad class of nanostructures by employing a sophisticated bookkeeping algorithm, in which each fragment appearing in the recursive decomposition is stored in the cache repository of molecular fragments indexed by a hash of the corresponding adjacency matrix. although exponential scaling persists for the remaining nanostructures, the computational time is reduced by a few orders of magnitude owing to efficient use of hash-based fragment bookkeeping. the provided benchmark timings show that zzpolycalc allows for treating much larger carbon nanostructures than previously envisioned.",2023-11-19
