"","Category","Name","Reviewers_Name","Reviews","Review_Date","Rating"
"11","Movie","12th Fail","Kornephoros","Superlative acting by each person in the movie, even those playing much smaller roles. The fact that it is based on a true story makes you really understand and appreciate what the person went through and how he achieved it. Dadi is awesome 😎Vikrant Massey plays the character with such ease. Do read how he prepared for the movie. It reminds me of Aamir Khan. Medha Shankar, Anshumaan Pushkar, Anant Joshi have portrayed their roles beautifully.The storyline flows effortlessly from the beginning and the narration by Anant is superb. What you also live through is the hard work that people put in while preparing for the UPSC exams, especially those coming from far flung villages of the country.A movie that you would definitely want the kids in the family to see. Congratulations to the entire cast and crew. You have delivered a masterpiece !","31 October 2023","10/10"
"12","Movie","12th Fail","vinaygupta-03300","Wow! This is one of the rare movies that actually made me cry. Tears were rolling down my cheek by the end of the movie and head was heavy with dizziness. Keeping philosophy of the movie aside, as far the cinema is concerned, it was an absolute brilliant. I would say that not only Vikrant Massey but all of the actors did phenomenal work. The innocence of Medha Shankar is enough to make anyone fall in love with her. BGM could have been a little better. Cinematography is nice and overall, movie sticks to realistic plane.The story that shows the story of struggle and success touches you deep within. You feel for the character since the beginning and celebrate his success as if he were your peer. The bonding the character manages to develop is amazing. We want him to succeed. And at the end, when he indeed successes, what a beautiful scene it was. The way both he and Shraddha rolls down crying. The way Manoj goes back to Dushyant and thanks him, the way he calls his mother, the way his father feels proud. It was all so great.Another scene that stuck with me was, when a character fails his 6th attempt, he opens his tea stall and start guiding others. It was so easy for the director to show that he committed suicide, after all the buildup that the movie attributed to him. But it was a nice gesture. But then there is a scene where that tea wala bhaiyya lectures the English medium student. That felt a bit too over the top and unnecessary.Romanticise upsc
Imaandari
English medium look down uponNow coming to philosophy, this is where I have got some problems with the movie. In my eyes, the movie unnecessarily romanticises UPSC and works as a motivation detox. I am not a huge advocate of motivation industry myself. So, I didn't find the motivational undertone very becoming of the movie. The movie stresses that one should never give up and should always restart and that is all fine, but without a proper subject and rational of thought, this becomes just blind motivation.Then, the whole subplot about honesty. I guess the movie handled it nicely and neither became a cynic nor too preachy. I thing I didn't like that the movie glorified the poor while showing a negative sentiment for the English medium privileged kids. Honestly, I am quite fed up of this constant undertone in all Bollywood movies. Indeed the poor ones who makes lot of struggle to make ends meet and yet continue their battle deserve our utmost respect, but if the means to glorify them is to look down upon the privileged ones by showing the stereotypical rich rude kids, I don't think it's justifiable. Both rich and the poor has got despicable people that has nothing to do with their economical status. So, I didn't find it very welcoming from a director of the intelligence of VVC.Keeping these nitpicks aside, this is indeed a very well made movie glowing with the extravaganza of heroism. If you liked superheroes in your childhood, this is the one movie you should look up to.","2 November 2023","8/10"
"13","Movie","12th Fail","akshayweb-96210","The latest work by this writer is an astonishing tour de force that transcends the boundaries of conventional storytelling, immersing the audience in an unparalleled experience of vivid realism. From the very beginning, it grabs your attention and doesn't let go, even during the intermission, ensuring that you remain thoroughly engrossed throughout.The level of craftsmanship displayed in this production is truly remarkable. The characters come to life in such a way that you feel an emotional connection with them, as if they were right there with you. The plot unfolds with a perfect blend of suspense and emotion, creating a narrative that is both compelling and relatable.One of the exceptional aspects of this work is its ability to motivate and inspire. There are scenes and moments that are so powerful that you'll want to revisit them multiple times. I wholeheartedly recommend watching it twice, not only to savor the intricate details of the story but also to capture and save those awe-inspiring sequences for future inspiration.The production values are top-notch. The set designs, costumes, and special effects are executed with precision and artistry. They transport you to the world of the story, making it feel like you're an active participant in the narrative.In summary, this is a remarkable achievement in the realm of storytelling. It goes beyond mere entertainment; it's an experience that lingers in your thoughts long after the final curtain falls. The writer's skill and the entire cast and crew's dedication shine brightly, making this a must-see production. If you seek a truly exceptional and motivating story that will leave you awestruck, this is unquestionably the best choice. Don't miss the opportunity to be a part of this unforgettable journey.Truly exceptional.","27 October 2023","10/10"
"14","Movie","12th Fail","yashhraaj","""12th Fail"" unfolds on the screen as a poignant biographical drama, bringing to life the real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi. Directed and written by Vidhu Vinod Chopra, this 2023 Indian Hindi-language film, based on Anurag Pathak's novel, is a heartwarming tribute to resilience and determination.The film is brought to life under the banner of Vinod Chopra Films and features a talented cast led by Vikrant Massey, Medha Shankar, Sanjay Bishnoi, Harish Khanna, Sarita Joshi, Priyanshu Chatterjee, and Vikas Divyakirti. Their performances breathe authenticity into the characters, making them relatable and endearing.Vidhu Vinod Chopra's direction shines, guiding the narrative with a steady hand and infusing it with emotional depth. The earthy storyline resonates with me, capturing the essence of human struggle and the pursuit of dreams against all odds.Shantanu Moitra's beautiful background score adds another layer of emotion to the film, enhancing the viewer's connection to the characters and their journey.""12th Fail"" is more than just a film; it's a testament to the indomitable spirit of today's generation. It reminds us that setbacks can be stepping stones to success and that determination can overcome even the most daunting challenges.In summary, ""12th Fail"" is a heartfelt and touching biopic that leaves a lasting impression. With its great direction, authentic characterization, and a story that tugs at the heartstrings, it's a must-see for audiences of all generations. This film serves as a reminder that perseverance and resilience can lead to extraordinary achievements, making it an inspiring cinematic experience.","1 November 2023","10/10"
"15","Movie","12th Fail","shaktirajsingh-29730","This movie is such an inspirational-realistic and depicted with cast full of natural talent. Hats off to Vikrant Massey for portraying a practical and real character. One should watch this movie in nearby theatres so that more such kind of movies are made in the future.It's trailer itself is eyepleasing, but believe me the entire movie is much beyond the trailer and the fact that it's based on true events make it one of the finest movies in the Indian cinema.It's a must watch movie for all the youths despite the fact that you are preparing for UPSC or not. You'll get to know that reasons for not putting proper efforts in your preparation for anything is not the things you tell to others it's just inside yourself. If you decide to do something then you'll definitely achieve it with positive mindset. All these things are depicted much better than the words I wrote here.","29 October 2023","10/10"
"16","Movie","12th Fail","AdityaChaphekar","I couldn't control my tears, this is such an inspiring film. Vikrant Massey! Wow.Our nation really needs to make such more films which will have a lasting impact in the minds of all generations.The movie touches these delicate topics of bribery, corruption, politics and it's also about hardwork, grit, love, tenacity and being a good Samaritan.Most of us have reached where we are because of the people in our lives, who endlessly support usWhen life gives you lemons, you make a lemonade. We all understand the cliched phrase but a very few of us actually do it.Beautiful work done by the people behind the screen.","30 December 2023","10/10"
"17","Movie","12th Fail","mahargajendra","This is time of commercial cinema where everyone want more and more box-office collection
But few movie's are made for real purpose
They inspires us to do best things in our life
Iam a student i generally a movie lover and only movie lover I never supposed to do time waste but I only gave time to movies only in a month because every motivation I had only from movies .Today I watched vikash divyakirthi sir 12th fail which shows me motivation love that support a student to become best one in our life ,that movie shows that.My favourite few of movie added one more 12th fail
My favorite movies are shadi me zaroor aana.","28 October 2023","10/10"
"18","Movie","12th Fail","dhunjiwadia","Some things are done for the love of it. And some things are done for the money. But it's wonderful when you make a movie for the love of it and it also makes money. I gather, 12th Fail is well on the way to becoming a financial success too.12th Fail is a big pass with distinction. It impresses and inspires. It is a cinematic triumph that excels in every department.Vidhu Vinod Chopra's artistry shines through in every frame, turning moments into magic. He's a master story-teller. Writing and Directing a film after many years, with aplomb and ease. Film-making runs in his veins. He understands every facet of the medium.Right from the start of the movie Sarita Joshi, as Dadi, sets the pace and tenor of the film when she censures the daroga who comes with the suspension notice.Vikrant Massey is mostly good in whichever role he plays. But this portrayal of real-life IPS Officer Manoj Kumar Sharma demands more. And he rises to the occasion and how! He takes us through a tornado of emotions from innocence, anger, dexterity, happiness and more. Medha Shankar provides strong support. As do the entire ensemble of actors. Not one of them looks out-of-place or miscast.Special mention for cinematographer Rangarajan Ramabadran who makes fluid use of the camera, that's unseen in Hindi films.The anthem, Restart, lingers on for a long time. We expect no less from Shantanu Moitra who has also created the background score.We as cinephiles deserve cinema that respects us. It's about time.","10 November 2023","9/10"
"19","Movie","12th Fail","clrajputchauhan","I am a government jobs current and I can relate it very well. Yesterday I was depressed and not feeling well because of my sickness then my doctor ask me to watch the movie 12 fail. His name is doctor Kartik and he is from Dehradun. After watching this movie I am very greatful to doctor Kartik.However I do not prefer to watch a typical Bollywood movie but this one is a quite different, we just call it a masterpiece.If you think this is a movie about some boring UPSC preparation or something like that then you are extremely wrong this is not what you think after listening first time it's a way more different what you think.","1 November 2023","10/10"
"20","Movie","12th Fail","AJ9441","Came into 12th Fail with low expectations given the lack of marketing and hype around the film. Boy was I wrong. The movie is an earnest telling of a true story that really speaks to the power of try try again. Vikrant Massey puts in a very strong performance as Manoj Kumar Sharma and really makes the audience empathize with the plight of the character and the unfair rigged system that he is up against. Special mention for Medha Shankar an actress that I was not familiar with but put in a very good showing so I am sure we will see her in more mainstream movies in the future. Definitely worth a watch for the whole family.","5 December 2023","8/10"
"21","Movie","12th Fail","gunjans","Vikrant massey and all the characters which will perform in this movie needs appreciation and i would love to recommend this movie to those who are persuing for UPSC,IPS,etc and if it is possible please please rate that movie too because it gives motivation to such a director and producers.🍿🎥Bold, Raw, Unfiltered, RealA movie that definitely breaks the typecasting of Bollywood movies from the ongoing load of commerical, overhyped, overmarketed movies coming out of the movie factory, that is Bollywood.Depicts a real life story of an UPSC aspirant (and the likes), the struggles year after year, the battle of resilience, and at last the judgement day.With brilliant direction and performance by every actor/ actress making the plot look so aligned was delivered flawlessly. It would definitely connect with the Indian viewers and others.Overall ""Bold, Raw, Unfiltered and Real'Another classy performance by Vikrant Massey.","29 October 2023","10/10"
"22","Movie","12th Fail","amardeepahd","All the actors are superb...Vidhu vinod Chopra has one again proved that he is the headmaster of indian cinema university.The way he has portrayed the character in his movie is superb ,words are fallen short.I was in tears many times and when I realised kids from small poor family has to go through a lot of struggle.Government should support all the prople of India without any baised views and help the poor family,We need a education system which is robust and it should be free of cost for all the citizens.We also need such movies which can transform the society andvit should bevtax free and should be promoted at all the platform.Word of mouth is very strong for this movie.","30 October 2023","10/10"
"23","Movie","12th Fail","nayak-gyanu","What a movie? This is epic...! This is the reality of our nation. Vikram, at his best.Amazing Acting : Vikram will make you his fan
Amazing Storyline/ Script : Perfect blend of emotion, motivation and reality. Such a balanced story
Amazing Direction : #vinodchopra hatsoff, as usual, picture perfect like 3 idiots.This movie is the roller coaster of emotions, struggle and success 🙌MUST WATCH MUST WATCH, for privileged people who always complains about resourcesPs.: People from Metro cities, you may not be able to relate as this movie speaks about 70% of our India and you belongs to dazzling dreamy world of 30%","29 October 2023","10/10"
"24","Movie","12th Fail","drrajeevshukla","This is a movie of journey of a man hailing from a village in Morena, near Gwalior in MP. The portrayal, the journey as well as the set up is too realistic. The cinematography, BGM are all top notch. All characters are brilliantly written & acted. Leading lady Medha Shankar is absolutely brilliant with proper emotions. But the movie has the biggest star in form of Vikrant Massey. He lives the character. Be it the scenes of helplessness in village or in Delhi, he's too good. The scenes in Flour mill are too emotional & brilliantly enacted. There's no preachiness yet strikes the right notes. Vidhu Vinod Chopra you have created a masterpiece. This one is your best work ever including Parinda & easily the best movie this year & probably of last 2/3 years.","11 November 2023","10/10"
"25","Movie","12th Fail","smit11198","This movie is a masterpiece.Acting is 11/10
story is 11/10
humour is 11/10
Direction is 11/10Extremely good movie. The whole movie experience is just wow. This is the definition of a perfect movie. Must must must watch. You just can not get out of the universe that it has created. The team has paid attention to minute details. Very rare yet very very well depicted. This movie definitely deserves an Oscar. Sometimes you feel Hindi cinema is dying but movies like this just proves you wrong. This movie is so underrated and it should receive much more appreciation from around the world. Perfectly perfect.","2 November 2023","10/10"
"26","Movie","Ramayana: The Legend of Prince Rama","ericstevenson","The version I saw was 2 hours and ten minutes long, but I heard there's other versions that are much longer. It's always interesting to learn about the animation of other countries and this film, apart from being a well known piece of Indian animation is actually part anime as it was literally collaborated on my Japanese animators. It's weird, because I know little about the relationships of those two countries. I know very little about Hinduism, but am always glad to learn something new. This movie features the tale of Prince Rama fighting against the evil Ravana. I know little about the actual Ramayana poem, nor about the Vedas or any of the Hindu holy text in general.The only thing that was familiar to me was the brief mention of chakra, which has been referenced in various anime. Well, it only fits as it is part anime. I think it's great to see a movie that combines two Asian countries. The animation in this film is absolutely gorgeous. You can definitely see some anime influence but it's still unique to the style of India. I love how Rama is actually smart and attacks Ravana while he's regenerating. Granted, he couldn't just do that forever, but he's smarter than most protagonists. I am glad to watch this movie to understand HInduism more.I remember taking a course in religion awhile back, which is probably the most familiar I am with Eastern religion. I think it's great to learn about other cultures. I don't know if I'm offending any Hindus with this review. I just wanted to watch a great movie and that's what I got. The designs are all great. It's hard to really praise the plot or anything because it's based on a classic piece of literature I am not familiar with. I always want to learn about other countries, especially the ones that have over a billion people! ***1/2","26 September 2016","9/10"
"27","Movie","Ramayana: The Legend of Prince Rama","virajsraul","It's so nostalgic to see the IMDb page of this movie which I have watched many times especially in my childhood..Cartoon Network used to show this movie every now and then..Coming to the review, Great way of depicting the legendary story of Prince Ram and his exhile following the kidnapping of his wife Sita by the king of Lanka- Ravan..Ram and Laxman forming an army to defeat the mighty Ravan and get back Sita..Such a badass story shown beautifully , narrated awesomely and the movie has your attention from the start till the end. There are many series and Movies based on the story of Ramayan but this one still remains the best for me.!!!!","22 April 2019","10/10"
"28","Movie","Ramayana: The Legend of Prince Rama","deepakyadavhp","I was 11 or 12 when i first watch this movie on TV.
And i was like WOW. i have already watched the Ramayana series by Ramanand Sagar which is an epic, but it had told the story in a number of episodes... while here we got the main story of prince Rama in 170 minute, although it didn't cover the whole epic but it still amazes me. The voice over actors did their best especially Amrish Puri, he had done some very memorable villainous roles in some of the best Hindi movies and i think this is one of them. While Arun Govil has played Rama in Ramamnand Sagar's Ramayana that's why his voice seems very suitable for the role to me and many who has seen the TV series.And now lets talk about the animation...its marvelous if we compare it with the time it was produced in especially in India. where there is no animation movie been release before. This movie has give me some best memories of my childhood and that is why i still remember it. I am 19 years old by the way.","26 October 2012","8/10"
"29","Movie","Ramayana: The Legend of Prince Rama","Miag_div","it is the most beautiful movie created till today . I appreciate the efforts of the director Mr. Yugo Sako to have done such a lot of research. The songs are heart rending. It is a movie to be viewed by anyone who is really interested in Ramayana. Hats Off to all who contributed in making this movie. The characters are portrayed very beautifully . The best part is every detail of the original Valmiki Ramayana has been shown which also makes it very informative. Also the songs make the whole aspect of the movie complete and provide entertainment. I specially like the music which has been composed by Mr. Vanraj Batia and the lyrics of the songs are very meaningful although they are is Sanskrit. Only flaw is that , Ram was a very powerful personality and that is why people used to like him . So ram's character should have been portrayed in a better way. But never mind that I like the efforts put in to make such a great movie. The best part is a Japanese Person made a movie on an Indian mythology!!","15 October 2005","10/10"
"30","Movie","Ramayana: The Legend of Prince Rama","ups-36964","Wow!! I think it's the best animated adaptation of Ramayan. They've shown the story very accurately, even in 130 mins. Kudos to Yugo Sako and his team. Both the english dub and hindi dub (Arun Govil) is awesome. The downside is that the frame rate of animation looks even less than 30fps. Other than that, i don't find any flaw in the film.
P.S. The music and songs are melodic and awesome. You'll fall in love with the songs
Jai Shree Ram
Jai Hind","5 July 2020","9/10"
"31","Movie","Ramayana: The Legend of Prince Rama","vpbishnoi","Bring back childhood memories, actions sequence are so cool , not even today any animation movie can beat this.","19 April 2020","10/10"
"32","Movie","Ramayana: The Legend of Prince Rama","divyanshprakash","Beautifully designed with moving dialogues. Possibly the best adaptation of Ramayana out there. A must watch for anyone interested in Indian culture and history.","3 April 2020","10/10"
"33","Movie","Ramayana: The Legend of Prince Rama","amit-55421","Since childhood I have been watching this movie on every Diwali. It refresh our childhood memory. Every Diwali we are waiting for this movie.","26 October 2019","10/10"
"34","Movie","Ramayana: The Legend of Prince Rama","lingamanenijaswanth","Many don't know that this was actually made by Japan as a friendship bond between India and Japan. A perfect depiction is made into this Anime. Wonderful 😌. Bollywood seriously needs to learn from this movie, Japanese makers have more knowledge than Bollywood.There's a correction in the movie. Vanara's army has been continuously called as Army of monkeys, which is false. Monkeys were called Kapi or Markata in Sanskrit. Kishkindha, kingdom of Vanara's is current day Hampi, Karnataka. In Sanskrit 'Vana' means 'Forest' & 'Nara' means 'Man' which literally means Men of the Forest. Many misunderstands that Vanara's came only from Kishkindha to war. But the truth is on Sugreev's order, Vanara's came from whole of the earth such as Vindhyas, Tibet, 'Ilavarta-varsha', a place where there was dark and light for 6 months i.e Polar regions as mentioned in Valmiki Ramayana. According to Valmiki, Vanara's were even described as 'Kapi-Kunchara' which means Elephant sized Monkeys in Sanskrit.Description of Vanara's in Ramayana exactly matches with Anthropological features of Neantherthel men such as big and sloppy foreheads, residing in caves, humaid bone, hairy bodies, protruding jaw bone, etc. We can still find interconnected mountain caves in Hampi even today, which was residence of Sugreev's army. Neantherthel men said to gone extinction by atleast 2,30,000 years by modern researchers. Tails of Neantherthel men were never proven to be existed as tails had no bones and flesh of the tails decay sooner.NOTE: Ramayana is an 'Ithihas' i.e. History not any mere mythology. 'Theory of Evolution', 'Homo Sapiens (we) evolved only 200,000 years ago' - All these are western scientist's statements. As Vedic culture is the only culture, which describes history beyond 10,000 BC, the world is described well in both Ramayana and Mahabharata.Jai Shree Ram 🏹","17 May 2021","10/10"
"35","Movie","Ramayana: The Legend of Prince Rama","mootzicker","The movie is simply amazing. I watched the movie years ago and is my all time favourite. The animations are splendid and songs are heart touching. I still listen to the songs sometimes. The voice over artists did their jobs brilliantly. Watching this movie will surely give you goosebumps. The movie simplifies the original Ramayana to a great extent. This was done to make this movie appeal to the International audience. Producers have done extensive research on the topic. This is quite visible in the intricate details present in the movie. Great collaboration by Indians and Japs. A must watch for everybody and a good introduction to Hinduism and Indian culture.","3 October 2016","10/10"
"36","Movie","Ramayana: The Legend of Prince Rama","manan-35579","Well about tons of indian animated version which not good as it Japanese anime yugo sako was very impressed with ramayan and make best animated version of ramayan 1000000000 times greater than any animated version made in india","7 December 2020","10/10"
"37","Movie","Ramayana: The Legend of Prince Rama","LegendofPrinceRama","This story is fascinating and much better than any other Rama movies. The portrayal of Rama is at its best. Firstly the character animations were excellent especially Rama's long black hair. Secondly the dialogue and songs are so prideful to us all. I also like the fight scenes which includes Rama. The final battle between Rama and Ravan was amazing as it shows the power of both warriors and how detailed animation is (exploding arrow wounding Rama, Rama covered in wounds) I would recommend anyone to watch this movie","29 May 2018","10/10"
"38","Movie","Ramayana: The Legend of Prince Rama","danielsmith-41280","It's the best animation film based on Lord Shri Rama's Ramayana.It describes the whole incidents with the natural essence that is very essential for remembering this supreme EPIC.The things which are really admirable.
1.Character Development
2.Screenplay
3.Background Music (at it's best)
4.Various Destinations
5.Story Telling
6.Fight Scenes
7.Direction and CinematographyAlthough,it's a little bit fast like it doesn't shows the fight between Sugriva and Bali,Ashok Vatika fights,etc.but,eventually not showing these doesn't impact any bad on this marvelous film.Because of these qualities every time I watched this film it makes me feels like it was the first time.So,give yourselves the pleasure to get involved into this Eternal Historical EPIC.🙏🙏🙏 Jai Shree Ram 🙏🙏🙏","5 May 2020","10/10"
"39","Movie","Ramayana: The Legend of Prince Rama","rajat_thakur","This is best animated movie ever made ... i loved it so much i still watch it . Brilliant animation , direction and songs oh man what a song this movies loved it totally","27 August 2018","10/10"
"40","Movie","Ramayana: The Legend of Prince Rama","tusharshuklaa","I saw this movie when I was a little kid and I've been in love with this movie since then. Animation, music, voice overs, everything is brilliant. Since the Ramayana cannot be completely illustrated within two-three hours but still, this is amazing. A must watch movie. And yes, do not watch this movie thinking you are going to watch a cartoon or something.","15 September 2017","10/10"
"41","Movie","Ramayana: The Legend of Prince Rama","briancham1994","This film is a great adaptation of a much longer epic, methodically cutting down the content into a feature length film but still retaining a clear flow. The beginning suffers from this process, however, as there is too much reliance on narration and the character designs are too similar, which rushes the viewer through complex family relations too quickly. It took me a while to figure out exactly who was the brother of whom and what everyone's names were. However, after Sita gets abducted and Hanuman enters the story, the film becomes the epic it promises to be with a clear flowing story, fantastical magic and engaging battles.","20 February 2021","7/10"
"42","Movie","Ramayana: The Legend of Prince Rama","amarbarot","I remember being 14 year old & watching this movie on cartoon network on Diwali vacation, very good quality anime, music, good description of Ramayana even for today's time, my first exposure to anime, beginning of my love for anime & also love for my cultural roots!","12 March 2021","10/10"
"43","Movie","Ramayana: The Legend of Prince Rama","UjjwalRaj_82","What A Wonderful Creation.. Take A Bow Yugo Sako.. You're A Legend!","2 November 2020","10/10"
