"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"1","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","4.5 out of 5 stars","Verified Purchase","Reviewmate","Have used Kaspersky security year on year and my devices have had perfect protection. Great value for money and easy to install using the code purchased, never experienced any problems.","Reviewed in the United Kingdom on 17 January 2024"
"13","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","1.0 out of 5 stars","Verified Purchase","Reviewmate","Kaspersky total security is my favourite of the all in one security packages and this is my 4th year using it. Always uninstall and buy digitally from amazon - it’s about 1/3 the price of renewing.Not much has changed this year - same great product with a slightly (very slightly) updated user interface. New this year so far seems to be an improved software updater that’s a nice touch.Reason I use this is that It regularly scores highest on malware tests, and as a bonus comes with actually useful tools like webcam blocker, the update checker, privacy and security optimisation browser plug-ins and such, and is very light on system resources - I don’t need to turn it off to game for example. I’ve bought a couple of computers that have come with trials of norton or trend micro and the just feel sub par by comparison.Minus 1 star from a perfect 5 for continuing to bundle kaspersky’s overpriced VPN software trial, and dumb region locking. The VPN can be removed post install by searching ‘add or remove programs’, but the region locking seemed particularly lazy.I didn’t notice when I bought this that it was UK only - that’s my bad, it says right on the page - but kaspersky’s enforcement is very lazy. I’m currently in Australia, but bought from the UK as my kaspersky account and payment card are still UK-based. It let me activate that serial fine (so no refund possibility) but then wouldn’t activate the software once downloaded even though the last one worked fine until the day before lol. They know my account, my history, my hardware, etc. it should work better. However all good as activated fine when using a VPN and no problems since with the VPN turned off.","Reviewed in the United Kingdom on 17 January 2024"
"14","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Amazon Customer","nice and easy to get up and running","Reviewed in the United Kingdom on 18 January 2024"
"15","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","JJ","Great price and easy to install","Reviewed in the United Kingdom on 27 November 2018"
"16","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","4.0 out of 5 stars","Verified Purchase","stephen hearne","great  buy","Reviewed in the United Kingdom on 8 February 2024"
"17","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","PSF Doncaster","Great price and have now used Kaspersky for 4 years with no problems . Noe always buy 2 years","Reviewed in the United Kingdom on 17 February 2024"
"18","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Ciaran Mc Sharry","Absolutely dreadful.  I am completely at a loss with this. Have used Kaspersky for many years.  Never again after this.Support from Kaspersky if you can get past the virtual help is usually  good , but so far im not loving the lack of help.Buy a different product.I have downloaded required details but am only able to use the free version. The product is useless to me.","Reviewed in the United Kingdom on 22 February 2024"
"19","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","DAVID KIRKPATRICK","I stopped buying this due to the war.","Reviewed in the United Kingdom on 16 January 2024"
"20","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Colin","This is an exceptional virus product which I have installed on my pc for several years and can’t fault. Previously I had another well known software product on a pc and wasn’t happy because it appeared to slow everything down but Kaspersky has never been a problem.","Reviewed in the United Kingdom on 5 December 2023"
"21","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","4.5 out of 5 stars","Verified Purchase","Reviewmate","Have used Kaspersky security year on year and my devices have had perfect protection. Great value for money and easy to install using the code purchased, never experienced any problems.","Reviewed in the United Kingdom on 17 January 2024"
"22","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Colin","Always get it from Amazon. Never auto renewal or purchase directly from Kaspersky as they always charge you more","Reviewed in the United Kingdom on 5 December 2023"
"23","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","1.0 out of 5 stars","Verified Purchase","Reviewmate","Kaspersky total security is my favourite of the all in one security packages and this is my 4th year using it. Always uninstall and buy digitally from amazon - it’s about 1/3 the price of renewing.Not much has changed this year - same great product with a slightly (very slightly) updated user interface. New this year so far seems to be an improved software updater that’s a nice touch.Reason I use this is that It regularly scores highest on malware tests, and as a bonus comes with actually useful tools like webcam blocker, the update checker, privacy and security optimisation browser plug-ins and such, and is very light on system resources - I don’t need to turn it off to game for example. I’ve bought a couple of computers that have come with trials of norton or trend micro and the just feel sub par by comparison.Minus 1 star from a perfect 5 for continuing to bundle kaspersky’s overpriced VPN software trial, and dumb region locking. The VPN can be removed post install by searching ‘add or remove programs’, but the region locking seemed particularly lazy.I didn’t notice when I bought this that it was UK only - that’s my bad, it says right on the page - but kaspersky’s enforcement is very lazy. I’m currently in Australia, but bought from the UK as my kaspersky account and payment card are still UK-based. It let me activate that serial fine (so no refund possibility) but then wouldn’t activate the software once downloaded even though the last one worked fine until the day before lol. They know my account, my history, my hardware, etc. it should work better. However all good as activated fine when using a VPN and no problems since with the VPN turned off.","Reviewed in the United Kingdom on 17 January 2024"
"24","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Amazon Customer","nice and easy to get up and running","Reviewed in the United Kingdom on 18 January 2024"
"25","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","JJ","Great price and easy to install","Reviewed in the United Kingdom on 27 November 2018"
"26","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","4.0 out of 5 stars","Verified Purchase","stephen hearne","great  buy","Reviewed in the United Kingdom on 8 February 2024"
"27","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","PSF Doncaster","Great price and have now used Kaspersky for 4 years with no problems . Noe always buy 2 years","Reviewed in the United Kingdom on 17 February 2024"
"28","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Ciaran Mc Sharry","Absolutely dreadful.  I am completely at a loss with this. Have used Kaspersky for many years.  Never again after this.Support from Kaspersky if you can get past the virtual help is usually  good , but so far im not loving the lack of help.Buy a different product.I have downloaded required details but am only able to use the free version. The product is useless to me.","Reviewed in the United Kingdom on 22 February 2024"
"29","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","DAVID KIRKPATRICK","I stopped buying this due to the war.","Reviewed in the United Kingdom on 16 January 2024"
"30","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Colin","This is an exceptional virus product which I have installed on my pc for several years and can’t fault. Previously I had another well known software product on a pc and wasn’t happy because it appeared to slow everything down but Kaspersky has never been a problem.","Reviewed in the United Kingdom on 5 December 2023"
"31","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","4.5 out of 5 stars","Verified Purchase","Reviewmate","Have used Kaspersky security year on year and my devices have had perfect protection. Great value for money and easy to install using the code purchased, never experienced any problems.","Reviewed in the United Kingdom on 17 January 2024"
"32","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Colin","Always get it from Amazon. Never auto renewal or purchase directly from Kaspersky as they always charge you more","Reviewed in the United Kingdom on 5 December 2023"
"33","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","1.0 out of 5 stars","Verified Purchase","Reviewmate","Kaspersky total security is my favourite of the all in one security packages and this is my 4th year using it. Always uninstall and buy digitally from amazon - it’s about 1/3 the price of renewing.Not much has changed this year - same great product with a slightly (very slightly) updated user interface. New this year so far seems to be an improved software updater that’s a nice touch.Reason I use this is that It regularly scores highest on malware tests, and as a bonus comes with actually useful tools like webcam blocker, the update checker, privacy and security optimisation browser plug-ins and such, and is very light on system resources - I don’t need to turn it off to game for example. I’ve bought a couple of computers that have come with trials of norton or trend micro and the just feel sub par by comparison.Minus 1 star from a perfect 5 for continuing to bundle kaspersky’s overpriced VPN software trial, and dumb region locking. The VPN can be removed post install by searching ‘add or remove programs’, but the region locking seemed particularly lazy.I didn’t notice when I bought this that it was UK only - that’s my bad, it says right on the page - but kaspersky’s enforcement is very lazy. I’m currently in Australia, but bought from the UK as my kaspersky account and payment card are still UK-based. It let me activate that serial fine (so no refund possibility) but then wouldn’t activate the software once downloaded even though the last one worked fine until the day before lol. They know my account, my history, my hardware, etc. it should work better. However all good as activated fine when using a VPN and no problems since with the VPN turned off.","Reviewed in the United Kingdom on 17 January 2024"
"34","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Amazon Customer","nice and easy to get up and running","Reviewed in the United Kingdom on 18 January 2024"
"35","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","JJ","Great price and easy to install","Reviewed in the United Kingdom on 27 November 2018"
"36","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","4.0 out of 5 stars","Verified Purchase","stephen hearne","great  buy","Reviewed in the United Kingdom on 8 February 2024"
"37","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","PSF Doncaster","Great price and have now used Kaspersky for 4 years with no problems . Noe always buy 2 years","Reviewed in the United Kingdom on 17 February 2024"
"38","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Ciaran Mc Sharry","Absolutely dreadful.  I am completely at a loss with this. Have used Kaspersky for many years.  Never again after this.Support from Kaspersky if you can get past the virtual help is usually  good , but so far im not loving the lack of help.Buy a different product.I have downloaded required details but am only able to use the free version. The product is useless to me.","Reviewed in the United Kingdom on 22 February 2024"
"39","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","DAVID KIRKPATRICK","I stopped buying this due to the war.","Reviewed in the United Kingdom on 16 January 2024"
"40","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Colin","This is an exceptional virus product which I have installed on my pc for several years and can’t fault. Previously I had another well known software product on a pc and wasn’t happy because it appeared to slow everything down but Kaspersky has never been a problem.","Reviewed in the United Kingdom on 5 December 2023"
"41","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","4.5 out of 5 stars","Verified Purchase","Reviewmate","Have used Kaspersky security year on year and my devices have had perfect protection. Great value for money and easy to install using the code purchased, never experienced any problems.","Reviewed in the United Kingdom on 17 January 2024"
"42","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Colin","Always get it from Amazon. Never auto renewal or purchase directly from Kaspersky as they always charge you more","Reviewed in the United Kingdom on 5 December 2023"
"43","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","1.0 out of 5 stars","Verified Purchase","Reviewmate","Kaspersky total security is my favourite of the all in one security packages and this is my 4th year using it. Always uninstall and buy digitally from amazon - it’s about 1/3 the price of renewing.Not much has changed this year - same great product with a slightly (very slightly) updated user interface. New this year so far seems to be an improved software updater that’s a nice touch.Reason I use this is that It regularly scores highest on malware tests, and as a bonus comes with actually useful tools like webcam blocker, the update checker, privacy and security optimisation browser plug-ins and such, and is very light on system resources - I don’t need to turn it off to game for example. I’ve bought a couple of computers that have come with trials of norton or trend micro and the just feel sub par by comparison.Minus 1 star from a perfect 5 for continuing to bundle kaspersky’s overpriced VPN software trial, and dumb region locking. The VPN can be removed post install by searching ‘add or remove programs’, but the region locking seemed particularly lazy.I didn’t notice when I bought this that it was UK only - that’s my bad, it says right on the page - but kaspersky’s enforcement is very lazy. I’m currently in Australia, but bought from the UK as my kaspersky account and payment card are still UK-based. It let me activate that serial fine (so no refund possibility) but then wouldn’t activate the software once downloaded even though the last one worked fine until the day before lol. They know my account, my history, my hardware, etc. it should work better. However all good as activated fine when using a VPN and no problems since with the VPN turned off.","Reviewed in the United Kingdom on 17 January 2024"
"44","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Amazon Customer","nice and easy to get up and running","Reviewed in the United Kingdom on 18 January 2024"
"45","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","JJ","Great price and easy to install","Reviewed in the United Kingdom on 27 November 2018"
"46","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","4.0 out of 5 stars","Verified Purchase","stephen hearne","great  buy","Reviewed in the United Kingdom on 8 February 2024"
"47","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","PSF Doncaster","Great price and have now used Kaspersky for 4 years with no problems . Noe always buy 2 years","Reviewed in the United Kingdom on 17 February 2024"
"48","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Ciaran Mc Sharry","Absolutely dreadful.  I am completely at a loss with this. Have used Kaspersky for many years.  Never again after this.Support from Kaspersky if you can get past the virtual help is usually  good , but so far im not loving the lack of help.Buy a different product.I have downloaded required details but am only able to use the free version. The product is useless to me.","Reviewed in the United Kingdom on 22 February 2024"
"49","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","DAVID KIRKPATRICK","I stopped buying this due to the war.","Reviewed in the United Kingdom on 16 January 2024"
"50","Kaspersky Premium Total Security 2024 | 3 Devices | 1 Year | Anti-Phishing and Firewall | Unlimited VPN | Password Manager | Parental Controls | 24/7 Support | PC/Mac/Mobile | UK Online Code","5.0 out of 5 stars","Verified Purchase","Colin","This is an exceptional virus product which I have installed on my pc for several years and can’t fault. Previously I had another well known software product on a pc and wasn’t happy because it appeared to slow everything down but Kaspersky has never been a problem.","Reviewed in the United Kingdom on 5 December 2023"
