"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"16","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.0 out of 5 stars","Verified Purchase","Lo C.","Effectively you must activate auto renew to get the 3 extra months exclusively for Amazon. If I were given to know this from the production description, I would have bought Norton, which Amazon advertises as auto renew is required. This is an unfair campaign with unequal disclosure. Please beware and if you turn on autorenew for the 3 extra months, remember deactivate the feature as the autorenewal cost is several times more expensive","Reviewed in the United Kingdom on 20 February 2024"
"17","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","3.0 out of 5 stars","Verified Purchase","anon","A good anti-virus security software by McAfee, this one was for 5 devices.","Reviewed in the United Kingdom on 20 February 2024"
"18","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","AA","Easy to install","Reviewed in the United Kingdom on 19 February 2024"
"19","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","JULIUS IAN","Everything looks good!","Reviewed in the United Kingdom on 10 February 2024"
"20","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Jay M","This is a great bargain.  You can secure free apps eg: Laptops and Phones.","Reviewed in the United Kingdom on 2 February 2024"
"21","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.4 out of 5 stars","Verified Purchase","Sharon D","Relatively easy to install.","Reviewed in the United Kingdom on 27 December 2023"
"22","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.0 out of 5 stars","Verified Purchase","geoffrey phillips","added extra protection for home","Reviewed in the United Kingdom on 6 February 2024"
"23","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","D. Moore","Easy to  install and update account. A lot cheaper than doing an auto renewal using McAfee too.","Reviewed in the United Kingdom on 31 January 2024"
"24","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Derek Craven","Bought this online from Amazon for a fraction of what re -newing with McAfee direct.It comes in a code via email, problem was it wouldn't install,AA call to their customer service department eventually sorted it out.","Reviewed in the United Kingdom on 2 December 2023"
"25","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.0 out of 5 stars","Verified Purchase","edward","Covers 10 pc. Provides a good all round protection","Reviewed in the United Kingdom on 23 December 2023"
"26","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.0 out of 5 stars","Verified Purchase","anthony Warrington","as expected","Reviewed in the United Kingdom on 21 December 2023"
"27","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.0 out of 5 stars","Verified Purchase","Steve","Good price and easy to set up.","Reviewed in the United Kingdom on 31 January 2024"
"28","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Chris","Got the code through sign up to mcafee site, locate to activate product put in code site does the rest. After activation you are asked to turn on all the diffrent parts bit of a task why not just put them all on then opt out if not required. Also offers you extra protection at a cost.","Reviewed in the United Kingdom on 3 January 2024"
"29","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Jane 10","Automatic delivery, excellent. No issues at all.Would definitely recommend.","Reviewed in the United Kingdom on 28 January 2024"
"30","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Pat Corcoran","Complete protection for all your devices.","Reviewed in the United Kingdom on 28 January 2024"
"31","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.4 out of 5 stars","Verified Purchase","Deborah Walton","Had difficulty in uploading, not very clear instructions for someone useless on computers. Had to ring my daughter to help, still not uploaded to tablet again have to wait for daughters help. But well worth the money.","Reviewed in the United Kingdom on 8 January 2024"
"32","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","David T.","My honest review was not allowed so it makes a mockery of this. Make what you wish if this","Reviewed in the United Kingdom on 6 February 2024"
"33","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","3.0 out of 5 stars","Verified Purchase","Chris","This was a great value anti virus protect and is well worth buying. I wish these did like a 5 year subscription so I didn't have to buy yearly.","Reviewed in the United Kingdom on 12 January 2024"
"34","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Alexander","Highly recommended to all computer users with a different platform to use.","Reviewed in the United Kingdom on 20 January 2024"
"35","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","johnwebster","Likes very fast and no problem installing also very good value for money.","Reviewed in the United Kingdom on 19 January 2024"
"36","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Mr Crisp","I've had Bitdefender for about 8-10 years and despite hardly noticing it running, their renewal pricing is all over the place. Black Friday this, Cyber Monday that, renewal other. The best I could see was £39 to renew and that is quite a significant amount more than McAfee.Reviews show them neck and neck in their abilities and as a savvy IT user I don't visit dodgy websites anyway so it's by the by.I have therefore decided to go for McAfee for 2024 and ditch Bitdefender.I'll update my review once I have used it for a bit and see how effective it is.","Reviewed in the United Kingdom on 23 November 2023"
"37","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Triblim","Had McAfee before but had to get a new license to avoid the stupidly over-priced renewal. Not a problem to do but now it's front end loaded with every couple of days trying to tell me something is causing a problem on the pc and I should buy some unnecessary add-on.Today it tried to tell me I had 153 unresolved registry issues which I know I don't as I use CCleaner to clear my registry every other day. Then it tells me I need to upgrade my anti-virus and tries to sell me what I already have.Other than these new annoyances it does what it should but I'm not sure I'll get it again.","Reviewed in the United Kingdom on 27 October 2023"
"38","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","3.0 out of 5 stars","Verified Purchase","Alan Benton","Always used free versions of software, tried as it was so cheap, not much of a difference that I can see yet, only had this paid version 1 week, I will update after a month","Reviewed in the United Kingdom on 4 October 2023"
"39","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.0 out of 5 stars","Verified Purchase","Anthony G","Does what it says - cheap","Reviewed in the United Kingdom on 18 November 2023"
"40","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.0 out of 5 stars","Verified Purchase","ANNKAT","I bought this because it had a discount was very unsure if it would work.I am pleased to say it did.I used this on my laptop and phones.","Reviewed in the United Kingdom on 3 January 2024"
"41","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.4 out of 5 stars","Verified Purchase","Teacher","Having already subscribed to McAfee TP, it was very easy to renew across all my devices. Fingers crossed it works, but I will only really know if it doesn't work when my computer is wrecked by a virus. So everyday that doesn't happen means it is super value for money.","Reviewed in the United Kingdom on 15 December 2023"
"42","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Amazon Customer","was very problematic trying to install not particularly clear and became very time consuming and frustrating","Reviewed in the United Kingdom on 20 January 2024"
"43","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","3.0 out of 5 stars","Verified Purchase","Lacy","Easy to buy, code straight through. Cheaper than McAfee..","Reviewed in the United Kingdom on 15 January 2024"
"44","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Amazon Customer","Arrived via email instantly, installed within a couple of minutesSimple ! and very good value for money","Reviewed in the United Kingdom on 5 January 2024"
"45","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","4Mum","Much cheaper than McAfee direct and so easy to set up","Reviewed in the United Kingdom on 8 January 2024"
"46","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Peter Trippier","Easy to purchase, install and a good value product","Reviewed in the United Kingdom on 4 November 2023"
"47","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","4.0 out of 5 stars","Verified Purchase","Chippy Jim","Extremely satisfied with the protection that I get from this system. Value for money.","Reviewed in the United Kingdom on 11 January 2024"
"48","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","linda","i buy this every year and it does the job","Reviewed in the United Kingdom on 15 January 2024"
"49","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Mr. Andrew P. Mcintyre","excellent value. Respected anti-virus software but not the quickest to start up so delays computer start-up","Reviewed in the United Kingdom on 9 January 2024"
"50","McAfee Total Protection 2024 Amazon Exclusive, 3 Devices | Antivirus, VPN, Password Manager, Mobile and Internet Security | PC/Mac/iOS/Android|15 Month Subscription | Activation Code by email","5.0 out of 5 stars","Verified Purchase","Filigree Gold","Easily installed on a new computer. Seems to do a good job.","Reviewed in the United Kingdom on 11 January 2024"
