"","Name","Rate","Type_of_Review","Reviewers_name","Reviews","Data_of_Reviews"
"11","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","4.8 out of 5 stars","Verified Purchase","Derek John Moore","What can I say except these bitters have been going since Adam was a lad & taste great when added to cocktails & for making your Pink Gin.They also last a long time in the bottle.","Reviewed in the United Kingdom on 22 December 2023"
"12","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Julian Hughes","Excellent with cocktails 🍸","Reviewed in the United Kingdom on 5 May 2023"
"13","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","3.0 out of 5 stars","Verified Purchase","Derek John Moore","This is perfect as it is in so many recipes for cocktails. And a better deal than the supermarket. Order yours today","Reviewed in the United Kingdom on 22 December 2023"
"14","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Amazon Customer","Great for making Mocktails","Reviewed in the United Kingdom on 9 February 2024"
"15","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","EbMonkey","The top fell out so instead of drops appearing it came out in a rush. Full refund given without any aggro. Great service Amazon","Reviewed in the United Kingdom on 12 January 2024"
"16","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Miss T Odupitan","Great friend old fashion always a compliment to any enthusiasts or mixologist","Reviewed in the United Kingdom on 11 January 2024"
"17","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Seasoned Buyer","This product is really good and lasts as you only use so little in it. Makes amazing Malawi Shandys.","Reviewed in the United Kingdom on 5 November 2023"
"18","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","4.0 out of 5 stars","Verified Purchase","Naganishi","Yes it’s good but as the silly women in my house took it upon themselves to have a clear out and threw out two bottles one unopened!","Reviewed in the United Kingdom on 1 March 2024"
"19","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","shelly","good","Reviewed in the United Kingdom on 13 November 2023"
"20","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","tiredof waiting","Flavour as expected.","Reviewed in the United Kingdom on 1 December 2023"
"21","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","4.8 out of 5 stars","Verified Purchase","Derek John Moore","What can I say except these bitters have been going since Adam was a lad & taste great when added to cocktails & for making your Pink Gin.They also last a long time in the bottle.","Reviewed in the United Kingdom on 22 December 2023"
"22","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Julian Hughes","Excellent with cocktails 🍸","Reviewed in the United Kingdom on 5 May 2023"
"23","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","3.0 out of 5 stars","Verified Purchase","Derek John Moore","This is perfect as it is in so many recipes for cocktails. And a better deal than the supermarket. Order yours today","Reviewed in the United Kingdom on 22 December 2023"
"24","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Amazon Customer","Great for making Mocktails","Reviewed in the United Kingdom on 9 February 2024"
"25","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","EbMonkey","The top fell out so instead of drops appearing it came out in a rush. Full refund given without any aggro. Great service Amazon","Reviewed in the United Kingdom on 12 January 2024"
"26","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Miss T Odupitan","Great friend old fashion always a compliment to any enthusiasts or mixologist","Reviewed in the United Kingdom on 11 January 2024"
"27","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Seasoned Buyer","This product is really good and lasts as you only use so little in it. Makes amazing Malawi Shandys.","Reviewed in the United Kingdom on 5 November 2023"
"28","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","4.0 out of 5 stars","Verified Purchase","Naganishi","Yes it’s good but as the silly women in my house took it upon themselves to have a clear out and threw out two bottles one unopened!","Reviewed in the United Kingdom on 1 March 2024"
"29","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","shelly","good","Reviewed in the United Kingdom on 13 November 2023"
"30","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","tiredof waiting","Flavour as expected.","Reviewed in the United Kingdom on 1 December 2023"
"31","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","4.8 out of 5 stars","Verified Purchase","Derek John Moore","What can I say except these bitters have been going since Adam was a lad & taste great when added to cocktails & for making your Pink Gin.They also last a long time in the bottle.","Reviewed in the United Kingdom on 22 December 2023"
"32","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Julian Hughes","Excellent with cocktails 🍸","Reviewed in the United Kingdom on 5 May 2023"
"33","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","3.0 out of 5 stars","Verified Purchase","Derek John Moore","This is perfect as it is in so many recipes for cocktails. And a better deal than the supermarket. Order yours today","Reviewed in the United Kingdom on 22 December 2023"
"34","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Amazon Customer","Great for making Mocktails","Reviewed in the United Kingdom on 9 February 2024"
"35","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","EbMonkey","The top fell out so instead of drops appearing it came out in a rush. Full refund given without any aggro. Great service Amazon","Reviewed in the United Kingdom on 12 January 2024"
"36","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Miss T Odupitan","Great friend old fashion always a compliment to any enthusiasts or mixologist","Reviewed in the United Kingdom on 11 January 2024"
"37","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Seasoned Buyer","This product is really good and lasts as you only use so little in it. Makes amazing Malawi Shandys.","Reviewed in the United Kingdom on 5 November 2023"
"38","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","4.0 out of 5 stars","Verified Purchase","Naganishi","Yes it’s good but as the silly women in my house took it upon themselves to have a clear out and threw out two bottles one unopened!","Reviewed in the United Kingdom on 1 March 2024"
"39","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","shelly","good","Reviewed in the United Kingdom on 13 November 2023"
"40","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","tiredof waiting","Flavour as expected.","Reviewed in the United Kingdom on 1 December 2023"
"41","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","4.8 out of 5 stars","Verified Purchase","Derek John Moore","What can I say except these bitters have been going since Adam was a lad & taste great when added to cocktails & for making your Pink Gin.They also last a long time in the bottle.","Reviewed in the United Kingdom on 22 December 2023"
"42","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Julian Hughes","Excellent with cocktails 🍸","Reviewed in the United Kingdom on 5 May 2023"
"43","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","3.0 out of 5 stars","Verified Purchase","Derek John Moore","This is perfect as it is in so many recipes for cocktails. And a better deal than the supermarket. Order yours today","Reviewed in the United Kingdom on 22 December 2023"
"44","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Amazon Customer","Great for making Mocktails","Reviewed in the United Kingdom on 9 February 2024"
"45","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","EbMonkey","The top fell out so instead of drops appearing it came out in a rush. Full refund given without any aggro. Great service Amazon","Reviewed in the United Kingdom on 12 January 2024"
"46","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Miss T Odupitan","Great friend old fashion always a compliment to any enthusiasts or mixologist","Reviewed in the United Kingdom on 11 January 2024"
"47","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","Seasoned Buyer","This product is really good and lasts as you only use so little in it. Makes amazing Malawi Shandys.","Reviewed in the United Kingdom on 5 November 2023"
"48","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","4.0 out of 5 stars","Verified Purchase","Naganishi","Yes it’s good but as the silly women in my house took it upon themselves to have a clear out and threw out two bottles one unopened!","Reviewed in the United Kingdom on 1 March 2024"
"49","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","shelly","good","Reviewed in the United Kingdom on 13 November 2023"
"50","Angostura Aromatic Bitters, 200ml | Aromatic Cocktail Aperitif","5.0 out of 5 stars","Verified Purchase","tiredof waiting","Flavour as expected.","Reviewed in the United Kingdom on 1 December 2023"
